iter	Passed	Remaining
420	2231	3068
421	2236	3063
422	2242	3059
423	2247	3053
424	2253	3049
425	2260	3045
426	2265	3040
427	2271	3035
428	2277	3030
429	2281	3024
430	2285	3017
431	2290	3011
432	2295	3005
433	2299	2998
434	2304	2993
435	2309	2987
436	2313	2980
437	2318	2974
438	2323	2969
439	2329	2965
440	2334	2958
441	2338	2952
442	2345	2949
443	2350	2943
444	2355	2937
445	2361	2932
446	2368	2929
447	2375	2926
448	2381	2922
449	2386	2916
450	2391	2910
451	2396	2905
452	2401	2899
453	2406	2893
454	2411	2888
455	2416	2883
456	2422	2877
457	2422	2867
458	2430	2864
459	2435	2859
460	2441	2854
461	2447	2849
462	2451	2843
463	2457	2838
464	2462	2833
465	2467	2827
466	2472	2822
467	2477	2815
468	2481	2809
469	2486	2803
470	2491	2797
471	2495	2792
472	2501	2786
473	2505	2780
474	2510	2774
475	2514	2768
476	2519	2762
477	2523	2756
478	2528	2750
479	2532	2743
480	2538	2738
481	2543	2733
482	2548	2727
483	2552	2721
484	2558	2716
485	2562	2710
486	2568	2705
487	2573	2699
488	2578	2694
489	2583	2688
490	2591	2686
491	2595	2680
492	2602	2676
493	2607	2670
494	2611	2664
495	2617	2659
496	2622	2654
497	2626	2648
498	2632	2642
499	2639	2639
500	2644	2634
501	2648	2627
502	2655	2623
503	2659	2617
504	2665	2612
505	2670	2607
506	2675	2602
507	2680	2596
508	2686	2591
509	2692	2587
510	2697	2581
511	2704	2577
512	2710	2572
513	2716	2568
514	2721	2563
515	2726	2557
516	2730	2550
517	2736	2546
518	2742	2541
519	2747	2536
520	2753	2531
521	2758	2525
522	2763	2520
523	2768	2514
524	2774	2510
525	2779	2504
526	2785	2500
527	2791	2495
528	2796	2489
529	2801	2484
530	2806	2478
531	2810	2472
532	2815	2466
533	2821	2461
534	2826	2456
535	2832	2451
536	2837	2446
537	2843	2441
538	2848	2436
539	2857	2433
540	2862	2428
541	2871	2426
542	2876	2420
543	2881	2415
544	2887	2411
545	2894	2406
546	2900	2402
547	2907	2398
548	2912	2392
549	2919	2388
550	2924	2382
551	2929	2377
552	2934	2372
553	2940	2366
554	2944	2361
555	2950	2356
556	2956	2351
557	2961	2346
558	2968	2341
559	2973	2336
560	2978	2330
561	2983	2325
562	2988	2319
563	2993	2314
564	2999	2309
565	3004	2303
566	3008	2297
567	3012	2291
568	3018	2286
569	3023	2281
570	3028	2275
571	3034	2270
572	3040	2265
573	3045	2260
574	3051	2255
575	3057	2250
576	3062	2245
577	3065	2237
578	3070	2232
579	3075	2226
580	3080	2221
581	3086	2216
582	3090	2210
583	3095	2205
584	3100	2199
585	3105	2194
586	3111	2189
587	3116	2183
588	3122	2178
589	3126	2172
590	3131	2166
591	3135	2160
592	3139	2154
593	3143	2148
594	3147	2142
595	3151	2136
596	3155	2130
597	3159	2124
598	3163	2118
599	3168	2112
600	3171	2105
601	3175	2099
602	3180	2093
603	3184	2087
604	3187	2081
605	3191	2074
606	3195	2068
607	3199	2062
608	3203	2056
609	3206	2050
610	3210	2044
611	3214	2038
612	3218	2031
613	3222	2025
614	3226	2019
615	3230	2013
616	3234	2007
617	3238	2001
618	3242	1995
619	3246	1989
620	3250	1983
621	3254	1977
622	3258	1972
623	3263	1966
624	3267	1960
625	3272	1955
626	3278	1950
627	3283	1944
628	3287	1938
629	3292	1933
630	3296	1927
631	3299	1921
632	3303	1915
633	3308	1910
634	3313	1904
635	3317	1898
636	3321	1893
637	3327	1888
638	3332	1882
639	3337	1877
640	3341	1871
641	3346	1866
642	3351	1860
643	3356	1855
644	3362	1850
645	3367	1845
646	3372	1839
647	3378	1835
648	3383	1829
649	3388	1824
650	3393	1819
651	3397	1813
652	3403	1808
653	3407	1802
654	3412	1797
655	3417	1791
656	3422	1786
657	3428	1782
658	3433	1776
659	3437	1770
660	3441	1765
661	3446	1759
662	3450	1753
663	3454	1748
664	3459	1742
665	3465	1737
666	3469	1731
667	3474	1726
668	3479	1721
669	3483	1715
670	3488	1710
671	3493	1705
672	3498	1699
673	3504	1694
674	3510	1690
675	3516	1685
676	3522	1680
677	3529	1676
678	3535	1671
679	3540	1666
680	3550	1663
681	3555	1658
682	3560	1652
683	3564	1646
684	3569	1641
685	3574	1635
686	3579	1630
687	3583	1625
688	3589	1620
689	3594	1614
690	3599	1609
691	3604	1604
692	3609	1599
693	3614	1593
694	3619	1588
695	3624	1583
696	3628	1577
697	3633	1572
698	3638	1566
699	3644	1561
700	3648	1556
701	3653	1550
702	3657	1545
703	3663	1540
704	3667	1534
705	3671	1528
706	3676	1523
707	3680	1517
708	3684	1512
709	3691	1507
710	3696	1502
711	3701	1497
712	3707	1492
713	3711	1486
714	3717	1481
715	3723	1477
716	3729	1471
717	3735	1466
718	3742	1462
719	3749	1458
720	3755	1453
721	3760	1447
722	3765	1442
723	3771	1437
724	3778	1433
725	3784	1428
726	3789	1422
727	3794	1417
728	3801	1413
729	3808	1408
730	3814	1403
731	3820	1398
732	3825	1393
733	3831	1388
734	3835	1382
735	3840	1377
736	3845	1372
737	3850	1366
738	3856	1362
739	3861	1356
740	3866	1351
741	3873	1346
742	3877	1341
743	3882	1336
744	3888	1330
745	3894	1325
746	3899	1320
747	3907	1316
748	3913	1311
749	3918	1306
750	3925	1301
751	3930	1296
752	3935	1290
753	3940	1285
754	3944	1280
755	3949	1274
756	3955	1269
757	3960	1264
758	3966	1259
759	3973	1254
760	3978	1249
761	3983	1244
762	3987	1238
763	3992	1233
764	3998	1228
765	4003	1222
766	4009	1217
767	4015	1212
768	4021	1207
769	4026	1202
770	4032	1197
771	4038	1192
772	4043	1187
773	4047	1181
774	4054	1177
775	4060	1172
776	4065	1166
777	4071	1161
778	4077	1156
779	4083	1151
780	4089	1146
781	4093	1141
782	4098	1135
783	4105	1131
784	4109	1125
785	4114	1120
786	4120	1115
787	4125	1109
788	4130	1104
789	4135	1099
790	4140	1093
791	4144	1088
792	4149	1083
793	4155	1078
794	4160	1072
795	4164	1067
796	4169	1061
797	4173	1056
798	4178	1051
799	4183	1045
800	4188	1040
801	4193	1035
802	4199	1030
803	4203	1024
804	4208	1019
805	4213	1014
806	4218	1008
807	4222	1003
808	4227	998
