iter	RMSE
614	2494.343012
615	2486.278585
616	2473.043046
617	2462.042135
618	2452.324327
619	2440.904112
620	2432.151763
621	2426.366686
622	2414.425774
623	2405.255512
624	2395.551368
625	2387.821162
626	2380.453969
627	2374.324042
628	2362.497711
629	2351.038414
630	2339.695804
631	2326.742131
632	2319.274815
633	2313.974535
634	2304.816972
635	2296.713682
636	2291.035786
637	2285.292699
638	2275.625613
639	2265.845684
640	2260.56079
641	2252.054844
642	2242.072961
643	2237.752708
644	2231.460636
645	2224.513588
646	2217.509896
647	2209.767276
648	2203.2976
649	2199.25979
650	2190.779368
651	2182.177589
652	2177.134284
653	2169.088735
654	2161.900968
655	2152.236598
656	2142.517358
657	2137.161898
658	2133.161824
659	2131.302462
660	2126.974275
661	2122.308296
662	2118.02694
663	2116.134205
664	2108.035724
665	2102.538921
666	2102.237173
667	2095.844205
668	2090.016772
669	2080.26642
670	2076.485893
671	2071.640531
672	2064.232385
673	2057.375988
674	2048.688775
675	2048.36717
676	2038.660285
677	2032.059034
678	2022.078373
679	2016.632687
680	2007.277837
681	2004.738467
682	1998.142298
683	1991.366329
684	1984.361251
685	1976.191758
686	1973.404547
687	1963.956756
688	1960.215846
689	1954.677119
690	1948.115486
691	1943.414276
692	1935.435329
693	1930.569286
694	1924.488059
695	1919.085433
696	1911.18266
697	1902.644281
698	1897.996166
699	1892.393075
700	1889.159288
701	1881.568406
702	1874.099306
703	1873.643737
704	1865.512764
705	1861.152933
706	1858.015491
707	1854.061849
708	1848.540433
709	1843.28977
710	1836.497834
711	1828.352221
712	1823.153991
713	1817.841452
714	1811.611232
715	1804.699555
716	1797.937033
717	1792.27424
718	1787.01661
719	1785.642903
720	1780.271827
721	1772.481342
722	1767.07127
723	1762.054739
724	1754.876034
725	1750.54213
726	1746.335818
727	1741.372632
728	1735.636182
729	1730.959821
730	1724.424418
731	1718.311524
732	1713.391966
733	1706.585808
734	1703.33334
735	1699.100029
736	1694.515969
737	1689.149226
738	1684.062318
739	1677.00299
740	1672.718529
741	1667.444389
742	1664.487781
743	1662.518539
744	1657.480021
745	1652.053881
746	1648.126406
747	1644.242486
748	1640.992486
749	1637.10942
750	1631.339784
751	1628.287042
752	1623.695009
753	1618.155114
754	1612.078335
755	1608.578379
756	1601.940408
757	1597.280553
758	1594.332278
759	1590.828298
760	1587.272213
761	1581.839277
762	1578.409347
763	1573.981824
764	1566.342465
765	1564.63435
766	1558.731698
767	1556.870449
768	1553.588919
769	1552.811454
770	1544.552078
771	1540.292686
772	1536.637232
773	1531.104304
774	1525.753808
775	1523.485605
776	1520.235603
777	1514.81156
778	1512.759644
779	1511.547297
780	1509.934092
781	1505.223835
782	1500.470594
783	1495.723845
784	1490.674158
785	1486.693962
786	1482.47704
787	1478.689346
788	1474.86785
789	1470.452722
790	1465.833902
791	1464.599009
792	1460.681035
